TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
8562.0723,-953.369,-32.879,-374.357,31990.0,-4830.0,28595.0,-136.8,-170.24,-515.28
8562.1223,-1090.619,-255.407,-476.166,88392.5,-35.0,55772.5,-145.92,-167.2,-516.8
8562.1723,-865.468,-12.749,-579.073,222818.75,-21516.25,100030.0,-147.44,-185.44,-500.08
8562.2223,-870.043,14.396,-585.051,211216.25,-25970.0,105192.5,-171.76,-191.52,-490.96
8562.2723,-764.94,180.255,-554.551,258903.75,-70980.0,98463.75,-188.48,-217.36,-440.8
8562.3223,-801.052,241.072,-467.077,185666.25,-12101.25,74795.0,-197.6,-224.96,-422.56
8562.3723,-863.455,450.241,-422.791,139238.75,23143.75,53558.75,-188.48,-238.64,-405.84
8562.4223,-920.978,371.673,-265.35,29566.25,2248.75,36295.0,-206.72,-220.4,-405.84
8562.4723,-907.07,284.931,-251.686,39068.75,-13623.75,16091.25,-214.32,-228.0,-411.92
8562.5223,-925.492,172.447,-322.324,43356.25,-21236.25,-7131.25,-224.96,-215.84,-381.52
8562.5723,-883.28,209.962,-403.576,11935.0,-4786.25,-5713.75,-209.76,-232.56,-392.16
8562.6223,-1093.181,17.446,-270.108,8172.5,9388.75,-24456.25,-226.48,-240.16,-387.6
8562.6723,-918.782,57.279,-298.351,27825.0,-35507.5,-21621.25,-211.28,-258.4,-378.48
8562.7223,-984.113,10.919,-267.851,17946.25,7253.75,-24158.75,-206.72,-267.52,-358.72
8562.7723,-970.083,13.725,-303.109,23467.5,-32541.25,-19600.0,-206.72,-282.72,-367.84
8562.8223,-1007.537,-4.941,-319.213,5031.25,2957.5,-8601.25,-218.88,-300.96,-349.6
8562.8723,-1006.988,-22.57,-275.537,4602.5,-17631.25,-1890.0,-223.44,-287.28,-364.8
8562.9223,-1105.442,19.642,-128.527,-5346.25,-45403.75,6361.25,-224.96,-299.44,-317.68
8562.9723,-998.326,134.505,-85.156,-16038.75,-43417.5,14148.75,-223.44,-294.88,-314.64
8563.0223,-1003.938,93.574,-44.591,-53471.25,-80403.75,13098.75,-229.52,-285.76,-281.2
8563.0723,-1017.907,162.626,-50.264,-62107.5,-31491.25,17771.25,-244.72,-267.52,-262.96
8563.1223,-1003.938,22.997,-43.493,-76903.75,-47757.5,7927.5,-240.16,-273.6,-235.6
8563.1723,-1053.348,19.215,-8.662,-65388.75,-19810.0,4567.5,-264.48,-256.88,-235.6
8563.2223,-984.784,-56.303,-27.389,-72415.0,-12958.75,3998.75,-252.32,-249.28,-224.96
8563.2723,-967.826,49.471,-34.343,-54267.5,3080.0,5075.0,-256.88,-231.04,-247.76
8563.3223,-922.808,-54.351,-6.283,-43365.0,1470.0,-1785.0,-232.56,-247.76,-241.68
8563.3723,-885.171,24.4,-26.84,-47040.0,23642.5,-5390.0,-252.32,-234.08,-243.2
8563.4223,-956.846,92.049,-67.954,-58161.25,27842.5,-6895.0,-238.64,-238.64,-259.92
8563.4723,-928.969,121.451,-35.38,-77656.25,48545.0,-25865.0,-241.68,-241.68,-307.04
8563.5223,-950.441,-18.727,-95.038,-147297.5,59307.5,-66543.75,-224.96,-255.36,-332.88
8563.5723,-954.04,-67.771,-132.37,-141907.5,71811.25,-83055.0,-228.0,-246.24,-390.64
8563.6223,-1002.779,-480.802,-193.431,-134907.5,49183.75,-99706.25,-197.6,-273.6,-418.0
8563.6723,-880.23,-391.071,-282.186,-83212.5,52858.75,-47022.5,-183.92,-278.16,-463.6
8563.7223,-1070.611,-330.376,-427.976,-61407.5,78496.25,-16345.0,-153.52,-278.16,-472.72
8563.7723,-988.444,-56.669,-520.513,-36015.0,21691.25,17990.0,-141.36,-250.8,-518.32
8563.8223,-846.497,-2.257,-504.348,-42603.75,34431.25,25768.75,-127.68,-228.0,-527.44
8563.8723,-914.451,10.797,-426.939,-73806.25,11690.0,6335.0,-124.64,-202.16,-548.72
8563.9223,-937.753,-38.003,-343.552,-45403.75,-3937.5,-9747.5,-117.04,-186.96,-550.24
8563.9723,-997.167,-130.723,-295.179,-38246.25,-34300.0,-17806.25,-132.24,-183.92,-553.28
8564.0223,-1057.984,-45.628,-357.155,-63805.0,-9773.75,-17692.5,-141.36,-168.72,-545.68
8564.0723,-1073.417,-156.526,-432.429,-53252.5,-8531.25,-17963.75,-142.88,-167.2,-524.4
8564.1223,-1116.239,-160.064,-205.387,-11830.0,-47311.25,-20501.25,-148.96,-158.08,-545.68
8564.1723,-853.573,-137.067,-194.651,-31788.75,-10955.0,-9467.5,-164.16,-162.64,-521.36
8564.2223,-820.389,-174.582,-176.473,13107.5,-15443.75,10237.5,-144.4,-142.88,-528.96
8564.2723,-830.088,4.392,-228.628,16161.25,7962.5,17325.0,-144.4,-155.04,-506.16
8564.3223,-968.07,4.209,-325.435,9511.25,-6903.75,26092.5,-167.2,-152.0,-524.4
8564.3723,-956.053,57.096,-402.234,2616.25,10351.25,34921.25,-150.48,-127.68,-498.56
8564.4223,-958.493,60.146,-411.811,13763.75,7148.75,30598.75,-159.6,-121.6,-515.28
8564.4723,-949.831,78.019,-423.889,12853.75,4410.0,22330.0,-147.44,-112.48,-510.72
8564.5223,-958.554,93.818,-420.534,17071.25,-6763.75,20090.0,-147.44,-114.0,-518.32
8564.5723,-957.7,56.974,-408.456,22785.0,-17832.5,7271.25,-132.24,-101.84,-507.68
8564.6223,-909.388,119.499,-399.245,28236.25,-11900.0,8190.0,-145.92,-118.56,-515.28
8564.6723,-915.488,88.755,-411.567,4471.25,10010.0,-2257.5,-136.8,-115.52,-503.12
8564.7223,-901.214,74.847,-352.885,551.25,17858.75,-9178.75,-148.96,-124.64,-519.84
8564.7723,-889.197,94.428,-368.196,446.25,13527.5,-5538.75,-124.64,-127.68,-510.72
8564.8223,-813.191,23.241,-429.013,7945.0,22951.25,-533.75,-144.4,-129.2,-516.8
